iter	F1	Logloss
0	0.6064787914	0.6796092161
1	0.6224787969	0.6674733899
2	0.6300553427	0.6559499028
3	0.6323265658	0.6462904451
4	0.6290032386	0.6373736082
5	0.629789686	0.6289103273
6	0.6265443248	0.6218618511
7	0.6268764434	0.6145884729
8	0.6252620924	0.6087208625
9	0.6257233796	0.601833421
10	0.6260227355	0.5958774126
11	0.6245924208	0.5907744083
12	0.6266628109	0.5860565207
13	0.6245751067	0.5816239255
14	0.6274028039	0.5766800674
15	0.6334340383	0.572209438
16	0.6326016553	0.5682292638
17	0.6332685525	0.5646386825
18	0.6329660834	0.5613174424
19	0.6316093198	0.5583155114
20	0.6313513514	0.556351474
21	0.6319049334	0.5529109834
22	0.6343605991	0.5499607415
23	0.6346831619	0.5475392252
24	0.6355408706	0.5444468986
25	0.6368658965	0.5423670884
26	0.638355772	0.5397814101
27	0.6388311967	0.5376890581
28	0.6397132616	0.5357109709
29	0.6397876462	0.5341401159
30	0.641233417	0.5317219959
31	0.6411249821	0.5301935749
32	0.6430158389	0.5279216945
33	0.6437737472	0.5258647523
34	0.6439681743	0.5236896969
35	0.6457200115	0.5219559462
36	0.6473278079	0.5201959893
37	0.6476435672	0.5186647025
38	0.6470040805	0.5177645262
39	0.6474634566	0.5164504591
40	0.6465949821	0.5160480367
41	0.6479759691	0.5144325344
42	0.6514751054	0.5126985968
43	0.6518539687	0.5116871838
44	0.6513722127	0.5100646873
45	0.6527023163	0.509076073
46	0.6551502605	0.5079166
47	0.6557236654	0.5070851177
48	0.6572528883	0.505988224
49	0.6581989439	0.5045525261
50	0.6601526282	0.5030764285
51	0.6620169383	0.5016594358
52	0.6618254307	0.5007655442
53	0.663109973	0.4994359777
54	0.6633952066	0.4984791988
55	0.6642470823	0.4975871893
56	0.6651010532	0.4965690161
57	0.666002845	0.4956474104
58	0.6666666667	0.494653954
59	0.6671412301	0.4938335617
60	0.6669514453	0.4928843654
61	0.6687029408	0.4914300891
62	0.6690356051	0.4907298651
63	0.6702180553	0.489913288
64	0.6711618994	0.4889466253
65	0.6720578847	0.4883257923
66	0.6716788425	0.4874987395
67	0.6724358065	0.4870536004
68	0.6722951401	0.4865246566
69	0.6734288552	0.485829883
70	0.6735721887	0.4849041383
71	0.6739053296	0.4842405779
72	0.6753633463	0.4834814533
73	0.6771608878	0.4822715967
74	0.6778242678	0.4817261231
75	0.6783434974	0.4807423114
76	0.6793709266	0.4797998179
77	0.6801246636	0.4790362611
78	0.6803087163	0.4786294013
79	0.681583233	0.4779626834
80	0.6815412948	0.4775395564
81	0.6827576444	0.4768706605
82	0.6833274336	0.4762760361
83	0.6840280235	0.4753874287
84	0.6835658146	0.474920122
85	0.684307344	0.4744650897
86	0.6858960764	0.4733961853
87	0.6861788618	0.4727516191
88	0.6859001556	0.4720083067
89	0.6858598005	0.471475283
90	0.6867043847	0.4704101958
91	0.6880079146	0.4698335364
92	0.688061073	0.4692840549
93	0.6895528714	0.468467245
94	0.6896405621	0.4676700728
95	0.689923028	0.4667691711
96	0.6905081631	0.4660508602
97	0.6903869279	0.4651892809
98	0.6921446736	0.4644657557
99	0.6925141243	0.4638916875
100	0.6927532137	0.4633436126
101	0.6927153254	0.462869378
102	0.6933822492	0.4622263484
103	0.6938919453	0.4616665775
104	0.6950514592	0.461136536
105	0.6947754354	0.4608420155
106	0.6954805048	0.46028488
107	0.6959588123	0.4596511016
108	0.6965531825	0.4590313024
109	0.6967496298	0.4581776542
110	0.6982381959	0.4573232632
111	0.6989429175	0.4566015246
112	0.6992179243	0.4558295146
113	0.700105671	0.4553252619
114	0.7003945885	0.4549156335
115	0.7011340424	0.4545035526
116	0.7023717362	0.4537126247
117	0.7024211712	0.4534780448
118	0.7030490811	0.4528447805
119	0.7043086455	0.4522153853
120	0.70462383	0.4518319309
121	0.7046318457	0.4513963839
122	0.7054269022	0.4506188927
123	0.705981703	0.450368439
124	0.7063542326	0.4498826024
125	0.7065362696	0.4491661737
126	0.7070493879	0.4484685364
127	0.7078849265	0.4479055966
128	0.7093464512	0.4474074681
129	0.7105207674	0.4468812345
130	0.7113329584	0.4463753485
131	0.7115452182	0.4457608034
132	0.7115546809	0.4454077555
133	0.7118262947	0.4450708246
134	0.7132926059	0.4445034148
135	0.7129213483	0.4440789709
136	0.7127001967	0.4436861484
137	0.7130508117	0.4431947065
138	0.7132916286	0.4427987562
139	0.7136631993	0.4424567243
140	0.7139443351	0.441862226
141	0.7145366402	0.4410622567
142	0.7150586747	0.4404472646
143	0.715579583	0.4400337343
144	0.7170526316	0.4395069663
145	0.7174843827	0.4387896471
146	0.7174157303	0.4384113685
147	0.7180459044	0.4379588397
148	0.7179775281	0.4374322265
149	0.7182871183	0.4370775117
150	0.7184888702	0.4367826611
151	0.7193992139	0.4362558825
152	0.7201010668	0.4357986549
153	0.720381808	0.435397035
154	0.7207915234	0.4349950765
155	0.7213137764	0.4344928429
156	0.721364402	0.4340189231
157	0.7212631579	0.4335242111
158	0.7218087347	0.4330310595
159	0.7220505618	0.4328387473
160	0.7221793162	0.4323656345
161	0.7227020574	0.431751402
162	0.7229203229	0.4313156289
163	0.723559548	0.4308160806
164	0.7236611216	0.4300403275
165	0.724058093	0.4296433382
166	0.7251051893	0.4289183781
167	0.7252839714	0.4284111886
168	0.72565254	0.4279963713
169	0.7270815812	0.4274753191
170	0.7275784753	0.4268877778
171	0.7280112045	0.4262863244
172	0.7283042656	0.4255735416
173	0.7284443511	0.4253951143
174	0.7292585591	0.4247924603
175	0.7294875385	0.4243095595
176	0.730352019	0.4238903126
177	0.7308472679	0.4234214514
178	0.7314581584	0.4226792077
179	0.7314717615	0.422250311
180	0.7320416871	0.4217965374
181	0.7323963359	0.4213310792
182	0.7321815766	0.420986123
183	0.7322840154	0.420628113
184	0.7333240106	0.4201688897
185	0.7332354381	0.4198238018
186	0.734628284	0.419315446
187	0.7359676068	0.418697539
188	0.7361072326	0.4182341765
189	0.7362614343	0.4176377821
190	0.7368715084	0.4173133183
191	0.7372757104	0.4169946893
192	0.7376648754	0.4165250101
193	0.7394547863	0.4158688145
194	0.7396247472	0.4154317334
195	0.7401882189	0.4151454331
196	0.7406271777	0.4147386737
197	0.741086351	0.414302807
198	0.741488547	0.4139531839
199	0.7412928392	0.4138141509
200	0.7414681711	0.4135616149
