iter	Passed	Remaining
0	49	49323
1	99	49445
2	150	50172
3	201	50292
4	251	49959
5	301	49908
6	344	48924
7	395	49082
8	449	49510
9	496	49132
10	541	48656
11	594	48967
12	649	49348
13	703	49550
14	758	49791
15	822	50595
16	873	50512
17	924	50423
18	973	50266
19	1018	49889
20	1032	48141
21	1080	48037
22	1133	48137
23	1182	48068
24	1227	47875
25	1274	47761
26	1327	47844
27	1381	47943
28	1434	48020
29	1479	47839
30	1527	47732
31	1576	47690
32	1621	47501
33	1674	47574
34	1730	47707
35	1786	47844
36	1847	48097
37	1902	48168
38	1955	48183
39	2010	48248
40	2023	47322
41	2078	47401
42	2127	47357
43	2182	47411
44	2231	47367
45	2282	47333
46	2345	47558
47	2400	47603
48	2448	47511
49	2491	47343
50	2535	47173
51	2586	47146
52	2638	47152
53	2695	47221
54	2747	47215
55	2803	47264
56	2855	47239
57	2902	47139
58	2977	47492
59	3036	47570
60	3100	47732
61	3160	47813
62	3206	47693
63	3253	47581
64	3307	47577
65	3360	47561
66	3413	47540
67	3459	47415
68	3507	47320
69	3557	47269
70	3613	47279
71	3669	47299
72	3721	47251
73	3773	47219
74	3829	47232
75	3881	47187
76	3933	47149
77	3989	47162
78	4041	47120
79	4100	47159
80	4156	47159
81	4212	47164
82	4263	47108
83	4312	47021
84	4357	46904
85	4406	46827
86	4459	46802
87	4503	46672
88	4556	46641
89	4605	46561
90	4666	46618
91	4723	46623
92	4777	46588
93	4824	46498
94	4872	46414
95	4919	46328
96	4966	46231
97	5009	46112
98	5055	46012
99	5102	45922
100	5151	45856
101	5201	45796
102	5245	45683
103	5299	45658
104	5353	45632
105	5407	45607
106	5459	45564
107	5511	45520
108	5555	45416
109	5601	45325
110	5654	45285
111	5711	45287
112	5762	45233
113	5808	45144
114	5869	45167
115	5920	45118
116	5975	45097
117	6033	45094
118	6085	45050
119	6143	45050
120	6202	45061
121	6262	45070
122	6315	45032
123	6371	45014
124	6453	45175
125	6510	45160
126	6568	45148
127	6625	45133
128	6683	45123
129	6746	45146
130	6801	45119
131	6854	45071
132	6907	45026
133	6954	44946
134	6998	44842
135	7047	44771
136	7096	44705
137	7158	44716
138	7214	44686
139	7231	44420
140	7283	44372
141	7334	44316
142	7379	44224
143	7431	44174
144	7482	44119
145	7544	44127
146	7595	44076
147	7650	44040
148	7706	44013
149	7757	43960
150	7813	43932
151	7863	43870
152	7910	43794
153	7953	43690
154	7998	43603
155	8057	43595
156	8108	43538
157	8161	43496
158	8209	43422
159	8251	43318
160	8295	43228
161	8343	43159
162	8393	43101
163	8445	43050
164	8496	42998
165	8548	42948
166	8612	42957
167	8678	42981
168	8731	42932
169	8787	42903
170	8841	42864
171	8893	42812
172	8940	42737
173	8987	42663
174	9045	42644
175	9099	42603
176	9165	42614
177	9225	42605
178	9269	42517
179	9318	42449
180	9366	42380
181	9412	42303
182	9457	42222
183	9502	42140
184	9555	42095
185	9610	42058
186	9661	42005
187	9718	41974
188	9776	41951
189	9828	41902
190	9891	41895
191	9942	41841
192	9994	41789
193	10038	41707
194	10086	41640
195	10139	41593
196	10191	41541
197	10240	41477
198	10289	41418
199	10334	41337
200	10377	41250
201	10424	41181
202	10471	41113
203	10518	41040
204	10561	40957
205	10606	40880
206	10659	40836
207	10711	40785
208	10762	40732
209	10812	40674
210	10866	40632
211	10932	40634
212	10991	40612
213	11040	40550
214	11092	40500
215	11145	40454
216	11207	40440
217	11272	40434
218	11330	40405
219	11386	40371
220	11448	40355
221	11501	40307
222	11549	40242
223	11599	40182
224	11651	40133
225	11707	40095
226	11760	40049
227	11809	39985
228	11862	39939
229	11915	39892
230	11963	39827
231	12018	39785
232	12076	39754
233	12124	39690
234	12171	39621
235	12220	39560
236	12269	39499
237	12314	39426
238	12357	39346
239	12399	39266
240	12443	39187
241	12487	39112
242	12537	39056
243	12590	39011
244	12645	38969
245	12695	38913
246	12747	38861
247	12801	38818
248	12852	38763
249	12898	38696
250	12947	38634
251	12994	38572
252	13041	38505
253	13084	38428
254	13131	38364
255	13192	38340
256	13249	38303
257	13297	38243
258	13346	38183
259	13395	38126
260	13450	38082
261	13501	38030
262	13549	37968
263	13602	37921
264	13654	37871
265	13705	37819
266	13763	37784
267	13821	37749
268	13872	37696
269	13918	37630
270	13961	37555
271	14010	37498
272	14059	37439
273	14104	37372
274	14151	37309
275	14199	37248
276	14242	37173
277	14296	37129
278	14352	37089
279	14404	37039
280	14455	36988
281	14500	36919
282	14542	36844
283	14595	36797
284	14645	36742
285	14699	36696
286	14747	36638
287	14796	36580
288	14841	36513
289	14890	36456
290	14941	36403
291	14990	36347
292	15037	36285
293	15089	36234
294	15136	36173
295	15184	36113
296	15225	36039
297	15271	35974
298	15312	35900
299	15355	35830
300	15410	35787
301	15467	35748
302	15515	35690
303	15562	35630
304	15605	35560
305	15660	35518
306	15716	35478
307	15769	35430
308	15815	35366
309	15859	35299
310	15906	35240
311	15948	35169
312	15989	35096
313	16030	35022
314	16074	34956
315	16122	34898
316	16173	34846
317	16216	34777
318	16263	34719
319	16313	34665
320	16360	34607
321	16407	34546
322	16454	34488
323	16497	34420
324	16548	34369
325	16603	34327
326	16660	34288
327	16712	34240
328	16763	34188
329	16810	34129
330	16861	34080
331	16910	34024
332	16955	33962
333	17011	33920
334	17070	33886
335	17121	33835
336	17166	33772
337	17216	33720
338	17265	33664
339	17315	33612
340	17369	33567
341	17428	33532
342	17478	33478
343	17533	33436
344	17586	33389
345	17643	33349
346	17720	33346
347	17780	33313
348	17838	33274
349	17893	33231
350	17941	33173
351	17990	33118
352	18034	33055
353	18078	32990
354	18127	32935
355	18181	32889
356	18232	32839
357	18286	32793
358	18334	32736
359	18379	32674
360	18426	32615
361	18476	32563
362	18529	32516
363	18577	32460
364	18625	32403
365	18674	32348
366	18732	32310
367	18790	32271
368	18854	32242
369	18904	32188
370	18949	32126
371	18997	32070
372	19046	32015
373	19092	31957
374	19141	31902
375	19189	31846
376	19245	31804
377	19299	31757
378	19348	31703
379	19396	31647
380	19448	31597
381	19496	31541
382	19550	31494
383	19598	31439
384	19653	31394
385	19702	31340
386	19754	31289
387	19805	31239
388	19860	31194
389	19913	31146
390	19967	31099
391	20018	31048
392	20063	30988
393	20111	30932
394	20160	30878
395	20213	30830
396	20271	30789
397	20321	30738
398	20367	30679
399	20412	30618
400	20458	30560
401	20506	30504
402	20559	30456
403	20612	30407
404	20661	30354
405	20715	30308
406	20768	30259
407	20817	30205
408	20867	30152
409	20920	30105
410	20972	30055
411	21020	30000
412	21081	29963
413	21127	29905
414	21177	29852
415	21225	29796
416	21272	29740
417	21320	29685
418	21366	29627
419	21413	29570
420	21461	29516
421	21516	29470
422	21567	29419
423	21628	29382
424	21686	29340
425	21744	29299
426	21795	29248
427	21841	29190
428	21887	29131
429	21899	29029
430	21948	28976
431	21991	28914
432	22036	28855
433	22078	28793
434	22126	28739
435	22190	28704
436	22241	28653
437	22285	28594
438	22334	28541
439	22385	28491
440	22431	28433
441	22479	28379
442	22528	28325
443	22579	28275
444	22630	28224
445	22678	28170
446	22729	28120
447	22777	28065
448	22821	28005
449	22864	27945
450	22908	27886
451	22954	27829
452	23007	27782
453	23053	27725
454	23099	27668
455	23149	27616
456	23198	27564
457	23247	27511
458	23303	27467
459	23355	27417
460	23401	27360
461	23446	27303
462	23498	27253
463	23545	27198
464	23590	27141
465	23638	27087
466	23687	27034
467	23738	26984
468	23783	26927
469	23832	26874
470	23881	26822
471	23928	26767
472	23973	26710
473	24022	26657
474	24073	26607
475	24123	26555
476	24172	26503
477	24217	26446
478	24263	26390
479	24309	26334
480	24324	26245
481	24383	26205
482	24436	26156
483	24486	26105
484	24534	26051
485	24580	25996
486	24627	25941
487	24677	25891
488	24722	25834
489	24770	25782
490	24819	25729
491	24868	25677
492	24915	25623
493	24959	25566
494	25002	25507
495	25051	25455
496	25100	25403
497	25145	25347
498	25193	25294
499	25239	25239
500	25282	25181
501	25328	25127
502	25377	25074
503	25425	25022
504	25472	24967
505	25519	24914
506	25571	24865
507	25625	24818
508	25709	24800
509	25772	24761
510	25823	24711
511	25874	24661
512	25920	24606
513	25963	24549
514	26005	24491
515	26060	24444
516	26109	24392
517	26156	24339
518	26200	24282
519	26244	24225
520	26290	24171
521	26339	24119
522	26391	24069
523	26442	24020
524	26488	23966
525	26533	23910
526	26583	23859
527	26644	23818
528	26701	23773
529	26754	23725
530	26803	23674
531	26851	23620
532	26894	23563
533	26938	23507
534	26982	23452
535	27028	23398
536	27076	23345
537	27124	23293
538	27171	23239
539	27219	23187
540	27269	23135
541	27312	23079
542	27364	23030
543	27419	22984
544	27465	22930
545	27510	22875
546	27555	22820
547	27605	22769
548	27656	22719
549	27708	22670
550	27766	22626
551	27818	22577
552	27867	22526
553	27913	22471
554	27960	22419
555	28006	22364
556	28053	22311
557	28099	22258
558	28151	22208
559	28193	22152
560	28242	22100
561	28287	22046
562	28335	21994
563	28389	21946
564	28436	21893
565	28495	21850
566	28546	21799
567	28600	21752
568	28647	21699
569	28692	21645
570	28739	21592
571	28789	21541
572	28834	21487
573	28880	21434
574	28931	21384
575	28981	21333
576	29028	21281
577	29075	21227
578	29117	21171
579	29161	21116
580	29205	21062
581	29252	21009
582	29299	20956
583	29347	20904
584	29403	20858
585	29448	20805
586	29495	20752
587	29544	20700
588	29597	20653
589	29649	20604
590	29696	20551
591	29750	20503
592	29798	20451
593	29845	20399
594	29892	20346
595	29942	20296
596	29999	20250
597	30056	20205
598	30107	20155
599	30157	20105
600	30205	20052
601	30255	20002
602	30304	19951
603	30350	19898
604	30397	19846
605	30448	19796
606	30496	19744
607	30545	19694
608	30594	19643
609	30641	19590
610	30694	19541
611	30738	19487
612	30782	19433
613	30827	19380
614	30873	19327
615	30917	19273
616	30959	19217
617	31004	19164
618	31054	19114
619	31107	19065
620	31155	19014
621	31200	18961
622	31249	18910
623	31306	18864
624	31358	18814
625	31405	18762
626	31455	18712
627	31498	18658
628	31545	18606
629	31591	18553
630	31642	18504
631	31695	18455
632	31745	18405
633	31789	18351
634	31832	18297
635	31874	18242
636	31919	18189
637	31968	18138
638	32015	18087
639	32058	18032
640	32102	17979
641	32151	17928
642	32201	17878
643	32250	17827
644	32305	17780
645	32354	17730
646	32400	17677
647	32447	17626
648	32499	17576
649	32543	17523
650	32593	17473
651	32649	17426
652	32698	17375
653	32742	17322
654	32788	17270
655	32836	17219
656	32884	17167
657	32928	17114
658	32972	17061
659	33018	17009
660	33064	16957
661	33106	16903
662	33153	16851
663	33195	16797
664	33241	16745
665	33285	16692
666	33338	16644
667	33392	16596
668	33446	16548
669	33492	16496
670	33544	16447
671	33596	16398
672	33646	16348
673	33700	16300
